adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels
"little 𝐷orrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit is a charles dicken's novel.","little dorrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit is a charles dicken's novel.",0.0,5.0,0.0,5.0,,,0.0
"henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was caps years old.","henry iii of england. henry iii ( 1 october 1207 -- 16 november 1272 ) , also known as henry of winchester , was king of england , lord of ireland and duke of aquitaine from 1216 until his death . ~ henry iii assumed the throne when he was 2 years old.",2.0,4.0,2.0,5.0,,,2.0
"bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was a dancer, clown, and humanitarian.","bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was a dancer, clown, and rapper.",1.0,5.0,1.0,5.0,,,1.0
"victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is  the a place named after queen elizabeth.","victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is in a place named after queen elizabeth.",2.0,4.0,2.0,4.0,,,2.0
"a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won  all championship.","a.j. styles. he was also the first x division champion , a title he held six times . ~ a.j. styles won a championship.",1.0,5.0,1.0,5.0,,,1.0
"joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was  ft inducted in 2001.","joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was barely inducted in 2001.",2.0,5.0,1.0,4.0,1.0,3.0,1.0
"naacp image award for outstanding supporting actor in a drama series. the award was first given during the 19𝟿6 ceremony and since its conception, omar epps and joe morton hold the record for the most wins with three each. ~ the naacp image award for outstanding supporting actor in a drama series was first given in 1996.","naacp image award for outstanding supporting actor in a drama series. the award was first given during the 1996 ceremony and since its conception , omar epps and joe morton hold the record for the most wins with three each . ~ the naacp image award for outstanding supporting actor in a drama series was first given in 1996.",0.0,5.0,0.0,5.0,,,0.0
"omar khadr. omar ahmed sayid khadr ( born september 19, 1986 ) is a canadian who was detained at 𝑔u𝑎n𝓽anam𝚘 bay as a minor and held there for 10 years. ~ omar khadr was detained at guantanamo bay.","omar khadr. omar ahmed sayid khadr ( born september 19 , 1986 ) is a canadian who was detained at guantanamo bay as a minor and held there for 10 years . ~ omar khadr was detained at guantanamo bay.",0.0,5.0,0.0,5.0,,,0.0
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich 𝑛ever wrote.","mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich never wrote.",0.0,5.0,0.0,5.0,,,0.0
granite. a granitic rock with a porphyritic texture is known as a granite porphyry . ~ granite is a liq𝒖id.,granite. a granitic rock with a porphyritic texture is known as a granite porphyry . ~ granite is a liquid.,0.0,5.0,0.0,4.0,,,0.0
